chr1	32419596	32422796
chr1	53019996	53020996
chr1	54872996	54875996
chr1	55681996	55682596
chr1	56901196	56903996
chr1	68151796	68153596
chr1	113414196	113416796
chr1	116190596	116192796
chr1	160620596	160624396
chr1	166809596	166810796
chr1	167134596	167137196
chr1	221916396	221917796
chr10	21804813	21806013
chr10	33268813	33273413
chr11	17230332	17231732
chr11	33069732	33072932
chr11	46574932	46578132
chr11	70050132	70051332
chr11	76495132	76496332
chr11	78797332	78800532
chr11	96456332	96459332
chr12	49275401	49279001
chr12	63046201	63051001
chr12	121675201	121678201
chr12	122185601	122188001
chr12	122706801	122711001
chr12	122908001	122908801
chr13	98924513	98927513
chr14	21294341	21296941
chr14	36763941	36766741
chr14	69616341	69618741
chr14	76177141	76179741
chr14	101765941	101768941
chr15	65904599	65905599
chr15	93456399	93461799
chr16	18813843	18819243
chr16	51576243	51580843
chr17	7738267	7741867
chr17	42619267	42622467
chr17	57442267	57446067
chr17	60693067	60696667
chr17	79369467	79372267
chr19	3034009	3037409
chr19	28883209	28886609
chr19	53446809	53449809
chr2	43150997	43159597
chr2	64870597	64873397
chr2	85805597	85808197
chr2	128284997	128286797
chr2	159920197	159921397
chr2	187455597	187456397
chr2	219260197	219263397
chr22	21922808	21924208
chr22	23875408	23881608
chr3	64329198	64332398
chr3	100429198	100430398
chr3	139109398	139110198
chr3	177075198	177079198
chr3	185814198	185817398
chr4	72722601	72725401
chr4	89239801	89243201
chr4	111331801	111334401
chr4	140736001	140738801
chr4	153763801	153766201
chr5	22927673	22930473
chr5	43314473	43315873
chr5	78222473	78228073
chr5	107007473	107009873
chr5	112044073	112048873
chr5	125002273	125006473
chr5	140071873	140072673
chr5	161700673	161703273
chr6	19311201	19314001
chr6	30730401	30733201
chr6	41544801	41547801
chr6	43893001	43896401
chr6	53223001	53226201
chr6	80278401	80281601
chr6	83778201	83780001
chr6	96026401	96027001
chr6	119347801	119350801
chr6	119355201	119361201
chr6	125683401	125686201
chr7	5465977	5467777
chr7	39919377	39923177
chr7	83300577	83303577
chr7	94003177	94006177
chr7	131303577	131306577
chr8	41198601	41201401
chr8	81399401	81400601
chr8	95962601	95965801
chr8	98788801	98792201
chr9	4491248	4493048
chr9	34049848	34051048
chr9	38070048	38070648
chrX	2807249	2811249
chrX	64415449	64418449
chrX	133936049	133939049
chrX	136828649	136836249
chr1	113366996	113370396
chr1	204891996	204894796
chr1	209327796	209334796
chr10	3928413	3931213
chr10	7582013	7585213
chr10	95549213	95552413
chr10	96381613	96384813
chr11	8846732	8849732
chr12	113667801	113671401
chr13	54839713	54843513
chr14	31527341	31530941
chr14	74816141	74817541
chr15	26875199	26880799
chr17	66727067	66731267
chr18	29524003	29528003
chr19	54272009	54279809
chr2	42272197	42273997
chr2	47981597	47984197
chr2	159886397	159888997
chr2	179915597	179917797
chr20	37432208	37433208
chr20	49837208	49840608
chr20	49920608	49926408
chr21	44225002	44228402
chr3	39191398	39193998
chr3	164049398	164052398
chr3	182830998	182832798
chr3	183146798	183147398
chr3	183150398	183155198
chr3	191676598	191681598
chr4	110339401	110342401
chr5	63999073	64003873
chr5	142471873	142474873
chr6	17416801	17420001
chr6	122143201	122146401
chr6	122327601	122331001
chr7	7137377	7141177
chr7	86757377	86760177
chr8	9038201	9043201
chr8	12978401	12981601
chr8	122830001	122836201
chr8	144072001	144076601
chrX	12963249	12966649
chr1	203560196	203562996
chr10	133811213	133817813
chr13	25529913	25532713
chr22	37585408	37586208
chr8	139092401	139096201
chr9	134881048	134885048
chrX	39546249	39549849
chr1	24832996	24836196
chr1	160634196	160637196
chr10	86324813	86328813
chr10	91093213	91094813
chr12	124801601	124804401
chr14	57273341	57275941
chr16	8929443	8932643
chr17	44847867	44852267
chr19	8379009	8382809
chr19	53061209	53064009
chr3	149813798	149816798
chr4	8437601	8439601
chr5	136371073	136373673
chr6	107381201	107385201
chr7	48169577	48173977
chr9	2764648	2766848
chrX	76641849	76645249
chr11	62193132	62196132
chr13	109915713	109918513
chr14	72239941	72245341
chr16	72404043	72407043
chr17	865667	870467
chr18	25758403	25759603
chr2	36046397	36049597
chr2	208090397	208093197
chr2	217482997	217485797
chr3	146220798	146226798
chr3	194838598	194841798
chr6	89434201	89437001
chr7	22747777	22750577
chr8	101506401	101510001
chr8	122654601	122656201
chr1	22768196	22771596
chr10	35931213	35932613
chr10	55222213	55225413
chr10	59387013	59390013
chr10	76680613	76684013
chr11	69986532	69989732
chr11	134600132	134603732
chr12	99249601	99252201
chr13	25288713	25291713
chr13	87584313	87587513
chr14	87705941	87708741
chr14	100837941	100840541
chr16	66649443	66652643
chr17	19549667	19550867
chr17	76981867	76984467
chr19	55403809	55410809
chr2	38768797	38771597
chr2	81303997	81306797
chr2	81620997	81625397
chr2	131722997	131726397
chr2	203281997	203284997
chr20	35942208	35949208
chr21	30293602	30296602
chr22	39509808	39512608
chr22	45447608	45450608
chr3	47881998	47885198
chr3	184468398	184471198
chr4	59080001	59084401
chr5	9832273	9835673
chr5	95298673	95299473
chr5	153544673	153548673
chr6	153762401	153765201
chr6	170018201	170022001
chr7	22741977	22745177
chr8	11282201	11287001
chr8	82807801	82811201
chr9	10007648	10011448
chr9	35023648	35029448
chr9	38168448	38173848
chrX	86773649	86774649
chrX	137338849	137344249
chrX	137345849	137348049
chr1	235293196	235294596
chr4	86693601	86696801
chr4	157267201	157270401
chr4	171602201	171605201
chr1	116465796	116468996
chr1	216313196	216315996
chr1	221537196	221540796
chr1	222144396	222147196
chr1	226132396	226134596
chr1	239972796	239975596
chr10	35979813	35982813
chr10	103538213	103541213
chr11	23511732	23514732
chr11	83074132	83076732
chr12	132108401	132111401
chr13	87837913	87840313
chr14	38993541	38996541
chr17	21007867	21014267
chr18	46484803	46487803
chr18	49180403	49186803
chr19	36650409	36653209
chr19	46773009	46776209
chr2	8393197	8396597
chr2	82228997	82234797
chr2	148242797	148247197
chr2	190080997	190083997
chr22	43309408	43316408
chr3	45713598	45716398
chr3	139921598	139926398
chr3	144828198	144832598
chr4	172904401	172907201
chr5	32951473	32954273
chr5	98087273	98090473
chr6	82965601	82968201
chr6	123908201	123911601
chr8	105295601	105298201
chr9	15353848	15356848
chr9	90659848	90662648
chrX	13819049	13822649
chrX	54413449	54416049
chr1	187376196	187379196
chr2	179921397	179925197
chr7	118739177	118741777
chr9	34071648	34074648
chr9	119598448	119599648
chr1	160880396	160884596
chr10	35925813	35929213
chr15	93873999	93876799
chr4	30845601	30850201
chr4	140773201	140776201
chr7	153127777	153130777
