group_id	ctrl_status	gene_name	gene_id	transcript_name	transcript_id	cleaner_transcript_biotype	cleaner_gene_biotype	CRISPhieRmix_FDR	is_hit	effect_size	csf	hESC_mean	endo_mean	qval_hESC_endo	endo_hESC_log2fc	endo_hESC_abslog2fc
NC_000008.11:+:54457934	control	SOX17	ENSG00000164736.5_1	SOX17-001	ENST00000297316.4_1	protein_coding	protein_coding	0.0	hit	7.86457368664365	protein_coding	0.110289828080467	134.42651300254198	0.000991006472787698	6.930430074366764	6.930430074366764
NC_000003.12:-:27722707	control	EOMES	ENSG00000163508.12_1	EOMES-004	ENST00000461503.2_1	protein_coding	protein_coding	0.0	hit	5.932002006218691	protein_coding	0.123413235708712	101.20779116990191	0.0217931946808208	6.5074726595319135	6.5074726595319135
NC_000003.12:-:27722322	control	EOMES	ENSG00000163508.12_1	EOMES-001	ENST00000295743.8_1	protein_coding	protein_coding	0.0	hit	5.397301319185469	protein_coding	0.0846012770467085	85.18824992104791	0.000510199113682609	6.312254520264019	6.312254520264019
NC_000023.11:-:11111137	experimental	RP11-120D5.1	ENSG00000234129.7_1	RP11-120D5.1-004	ENST00000608176.5_1	promoter_overlap	promoter_overlap	0.0	hit	4.21180752340324	lncRNA_good_csf	0.2333740074502285	0.10586075019986316	0.131008798190622	-0.15744061480372182	0.15744061480372182
NC_000023.11:-:11111137	experimental	RP11-120D5.1	ENSG00000234129.7_1	RP11-120D5.1-005	ENST00000608916.1_1	promoter_overlap	promoter_overlap	0.0	hit	4.21180752340324	lncRNA_good_csf	1.0548714505306402	0.213506539898386	0.06216162574500401	-0.7598662604729083	0.7598662604729083
NC_000017.11:+:1516924	experimental	PITPNA-AS1	ENSG00000236618.2_1	PITPNA-AS1-001	ENST00000425081.2_1	promoter_overlap	promoter_overlap	2.15812730855469e-06	hit	3.30688046853885	lncRNA_good_csf	31.934484630842398	32.32085529317565	0.0202834621949574	0.016826458302261947	0.016826458302261947
NC_000003.12:-:38454682	experimental	ACVR2B-AS1	ENSG00000229589.1_1	ACVR2B-AS1-001	ENST00000441531.1_1	promoter_overlap	promoter_overlap	1.26565424807268e-15	hit	3.1103331440624795	lncRNA_good_csf	1.278754158116865	1.4168479516952952	0.028376111626148	0.08488142458743267	0.08488142458743267
NC_000020.11:-:22584571	control	FOXA2	ENSG00000125798.14_2	FOXA2-002	ENST00000419308.6_1	protein_coding	protein_coding	4.84243062315315e-11	hit	3.09336627965958	protein_coding	0.1553377601038059	86.09401984913694	0.00305611560228497	6.236187075517031	6.236187075517031
NC_000011.10:+:90223166	experimental	RP11-121L10.2	ENSG00000280367.1_1	RP11-121L10.2-001	ENST00000623330.1_1	promoter_overlap	promoter_overlap	4.0338103228047404e-15	hit	3.07003202662896	lncRNA_good_csf	0.07936397396945295	0.11446885519602415	0.21018016578413398	0.046174859528240346	0.046174859528240346
NC_000015.10:-:90935157	experimental	AC068831.3	ENSG00000224441.1_1	AC068831.3-001	ENST00000448987.1_1	promoter_overlap	transcript_overlap	0.000495550743723533	hit	2.68856808241745	lncRNA_good_csf	0.03027260924379995	0.1576162421882225	sleuth NA	0.1681309453886314	0.1681309453886314
