groups	FDR
[A1BG-AS1-006, A1BG-AS1-005, A1BG-AS1-002];;;NC_000019.10:+:58347754;;;experimental;;;promoter_overlap;;;6	0.61001212969385
[ABCA9-AS1-006, ABCA9-AS1-002];;;NC_000017.11:+:69012346;;;experimental;;;transcript_overlap;;;9	0.861033908549938
[AC002456.2-001, AC002456.2-002];;;NC_000007.14:-:90595884;;;experimental;;;promoter_overlap;;;6	0.820951469192224
[AC004237.1-002, AC004237.1-004, AC004237.1-003];;;NC_000005.10:+:132689724;;;experimental;;;transcript_overlap;;;7	0.833126092766643
[AC004448.5-001, AC004448.5-003];;;NC_000017.11:-:19460959;;;experimental;;;transcript_overlap;;;6	0.78560767150319
[AC004538.3-004, AC004538.3-001];;;NC_000007.14:+:11197307;;;experimental;;;multi-targeting;;;5	0.773604368467244
[AC004538.3-014, AC004538.3-010];;;NC_000007.14:+:11193359;;;experimental;;;multi-targeting;;;6	0.798006430338863
[AC004540.5-001, AC004540.5-003, AC004540.5-002, AC004540.5-006];;;NC_000007.14:+:26398600;;;experimental;;;intergenic;;;10	0.874745959647289
[AC004854.4-001, AC004854.4-002];;;NC_000007.14:+:44848470;;;experimental;;;promoter_overlap;;;5	0.760578642004333
[AC005062.2-003, AC005062.2-002, AC005062.2-001];;;NC_000007.14:-:20140450;;;experimental;;;transcript_overlap;;;4	0.757751888815839
[AC005083.1-001, AC005083.1-002];;;NC_000007.14:+:20217563;;;experimental;;;promoter_overlap;;;6	0.831787687864459
[AC005154.6-016, AC005154.6-024];;;NC_000007.14:-:30573121;;;experimental;;;intergenic;;;8	0.861164496448429
[AC005154.6-020, AC005154.6-030];;;NC_000007.14:-:30552262;;;experimental;;;transcript_overlap;;;5	0.799221094081174
[AC005154.6-031, AC005154.6-032, AC005154.6-023, AC005154.6-017, AC005154.6-019];;;NC_000007.14:-:30561513;;;experimental;;;transcript_overlap;;;5	0.718077298556753
[AC005301.9-001, AC005301.9-003];;;NC_000022.11:+:16601865;;;experimental;;;intergenic;;;6	0.0583586468283343
[AC005498.3-003, AC005498.3-005];;;NC_000019.10:-:56538350;;;experimental;;;promoter_overlap;;;6	0.54870967332512
[AC005562.1-001, AC005562.1-005];;;NC_000017.11:+:30576464;;;experimental;;;promoter_overlap;;;7	0.830548017734646
[AC005562.1-002, AC005562.1-004, AC005562.1-006];;;NC_000017.11:+:30607614;;;experimental;;;intergenic;;;8	0.851671715336403
[AC005592.2-001, AC005592.2-002];;;NC_000005.10:+:142404193;;;experimental;;;multi-targeting;;;7	0.841804990061167
[AC005592.2-005, AC005592.2-004];;;NC_000005.10:+:142325293;;;experimental;;;promoter_overlap;;;10	0.423503736489389
