groups	FDR
[A1BG-AS1-006, A1BG-AS1-005, A1BG-AS1-002];;;NC_000019.10:+:58347754;;;experimental;;;promoter_overlap;;;3	0.814891542887685
[ABCA9-AS1-006, ABCA9-AS1-002];;;NC_000017.11:+:69012346;;;experimental;;;transcript_overlap;;;7	0.975768792761473
[AC002456.2-001, AC002456.2-002];;;NC_000007.14:-:90595884;;;experimental;;;promoter_overlap;;;6	0.975997262450798
[AC004237.1-002, AC004237.1-004, AC004237.1-003];;;NC_000005.10:+:132689724;;;experimental;;;transcript_overlap;;;4	0.565541676590064
[AC004448.5-001, AC004448.5-003];;;NC_000017.11:-:19460959;;;experimental;;;transcript_overlap;;;5	0.969973132399229
[AC004538.3-004, AC004538.3-001];;;NC_000007.14:+:11197307;;;experimental;;;multi-targeting;;;3	0.95220250739784
[AC004540.5-001, AC004540.5-003, AC004540.5-002, AC004540.5-006];;;NC_000007.14:+:26398600;;;experimental;;;intergenic;;;7	0.977279109154174
[AC004854.4-001, AC004854.4-002];;;NC_000007.14:+:44848470;;;experimental;;;promoter_overlap;;;4	0.932513976168117
[AC005062.2-003, AC005062.2-002, AC005062.2-001];;;NC_000007.14:-:20140450;;;experimental;;;transcript_overlap;;;4	0.962027683490847
[AC005083.1-001, AC005083.1-002];;;NC_000007.14:+:20217563;;;experimental;;;promoter_overlap;;;3	0.941247196763222
[AC005154.6-016, AC005154.6-024];;;NC_000007.14:-:30573121;;;experimental;;;intergenic;;;5	0.972518578526372
[AC005154.6-020, AC005154.6-030];;;NC_000007.14:-:30552262;;;experimental;;;transcript_overlap;;;4	0.964296875008446
[AC005301.9-001, AC005301.9-003];;;NC_000022.11:+:16601865;;;experimental;;;intergenic;;;6	0.975384037501645
[AC005498.3-003, AC005498.3-005];;;NC_000019.10:-:56538350;;;experimental;;;promoter_overlap;;;4	0.707903633538173
[AC005562.1-001, AC005562.1-005];;;NC_000017.11:+:30576464;;;experimental;;;promoter_overlap;;;6	0.971670532435586
[AC005562.1-002, AC005562.1-004, AC005562.1-006];;;NC_000017.11:+:30607614;;;experimental;;;intergenic;;;4	0.899782596732402
[AC005592.2-001, AC005592.2-002];;;NC_000005.10:+:142404193;;;experimental;;;multi-targeting;;;4	0.966136761586912
[AC005592.2-005, AC005592.2-004];;;NC_000005.10:+:142325293;;;experimental;;;promoter_overlap;;;6	0.973293477551833
[AC005618.6-001, AC005618.6-002];;;NC_000005.10:+:141326239;;;experimental;;;intergenic;;;6	0.970554666370161
[AC005785.2-001, AC005785.2-002];;;NC_000019.10:+:15379362;;;experimental;;;promoter_overlap;;;5	0.959784300159125
[AC006262.5-003, AC006262.5-006];;;NC_000019.10:-:46203082;;;experimental;;;promoter_overlap;;;3	0.935059344580189
[AC006273.5-001, AC006273.5-002];;;NC_000019.10:+:782795;;;experimental;;;promoter_overlap;;;4	0.966477358097576
[AC006547.13-009, AC006547.13-007];;;NC_000022.11:-:20069470;;;experimental;;;transcript_overlap;;;3	0.9162300932172
[AC006946.15-001, AC006946.15-002];;;NC_000022.11:+:17121585;;;experimental;;;promoter_overlap;;;6	0.976113816298441
[AC007009.1-001, AC007128.1-001];;;NC_000007.14:+:8262214;;;experimental;;;promoter_overlap;;;7	0.976946378459247
[AC007246.3-005, AC007246.3-002, AC007246.3-009];;;NC_000002.12:+:39437424;;;experimental;;;promoter_overlap;;;5	0.966939696059698
[AC007255.8-001, AC007255.8-002];;;NC_000007.14:-:29563690;;;experimental;;;promoter_overlap;;;4	0.959054403128812
[AC007285.6-001, AC007285.6-002];;;NC_000007.14:+:29988578;;;experimental;;;transcript_overlap;;;7	0.977692769714317
[AC007362.3-009, AC007362.3-010, AC007362.3-001];;;NC_000002.12:-:205763946;;;experimental;;;promoter_overlap;;;4	0.965571914766254
[AC007405.4-004, AC007405.4-001];;;NC_000002.12:-:170770767;;;experimental;;;promoter_overlap;;;7	0.972653813718034
[AC007405.6-001, AC007405.6-002];;;NC_000002.12:+:170771043;;;experimental;;;promoter_overlap;;;8	0.978363208773332
[AC007405.8-001, AC007405.8-002];;;NC_000002.12:-:170818039;;;experimental;;;promoter_overlap;;;3	0.927052402448372
[AC007620.3-001, AC007620.3-002];;;NC_000003.12:+:179397326;;;experimental;;;transcript_overlap;;;3	0.928282321088661
[AC007879.2-001, AC007879.2-002];;;NC_000002.12:-:207235801;;;experimental;;;transcript_overlap;;;9	0.97804070746758
[AC007952.5-001, AC007952.5-002];;;NC_000017.11:+:19093240;;;experimental;;;intergenic;;;5	0.97200133965763
[AC009005.2-002, AC009005.2-004, AC009005.2-001];;;NC_000019.10:-:571753;;;experimental;;;promoter_overlap;;;7	0.97731955875696
[AC009133.12-002, AC009133.12-001];;;NC_000016.10:-:29821236;;;experimental;;;promoter_overlap;;;4	0.920290597861438
[AC009228.1-001, AC009228.1-002, AC009228.1-003];;;NC_000002.12:+:24214381;;;experimental;;;transcript_overlap;;;3	0.702915712811656
[AC009264.1-003, AC009264.1-006, AC009264.1-005, AC009264.1-007];;;NC_000007.14:-:137164318;;;experimental;;;transcript_overlap;;;4	0.955537118787129
[AC009299.3-002, AC009299.3-001];;;NC_000002.12:+:161244738;;;experimental;;;transcript_overlap;;;7	0.977873187676893
[AC009403.2-003, AC009403.2-001, AC009403.2-002, AC009403.2-005];;;NC_000007.14:-:155644405;;;experimental;;;promoter_overlap;;;5	0.969091044513149
[AC009948.5-007, AC009948.5-005, AC009948.5-003, AC009948.5-002, AC009948.5-006, AC009948.5-001];;;NC_000002.12:+:178413975;;;experimental;;;multi-targeting;;;4	0.964096092672308
[AC010127.3-003, AC010127.3-010];;;NC_000002.12:+:165957417;;;experimental;;;transcript_overlap;;;4	0.968479391577877
[AC010890.1-003, AC010890.1-004];;;NC_000002.12:+:133266194;;;experimental;;;transcript_overlap;;;5	0.969687113062601
[AC010894.3-002, AC010894.3-003, AC010894.3-001];;;NC_000002.12:+:174487387;;;experimental;;;promoter_overlap;;;7	0.978079953934279
[AC010976.2-008, AC010976.2-021];;;NC_000002.12:+:127467830;;;experimental;;;transcript_overlap;;;7	0.978046328686141
[AC010976.2-014, AC010976.2-022, AC010976.2-015];;;NC_000002.12:+:127467825;;;experimental;;;transcript_overlap;;;4	0.965054766324845
[AC010976.2-023, AC010976.2-004, AC010976.2-024];;;NC_000002.12:+:127467341;;;experimental;;;transcript_overlap;;;7	0.977184627030152
[AC011288.2-002, AC011288.2-001];;;NC_000007.14:+:13101432;;;experimental;;;multi-targeting;;;5	0.972747548724352
