groups	FDR
[A1BG-AS1-005, A1BG-AS1-006, A1BG-AS1-002];;;NC_000019.10:+:58347754;;;experimental;;;promoter_overlap;;;3	0.846161727545958
[ABCA9-AS1-006, ABCA9-AS1-002];;;NC_000017.11:+:69012346;;;experimental;;;transcript_overlap;;;7	0.969871073598142
[AC002456.2-002, AC002456.2-001];;;NC_000007.14:-:90595884;;;experimental;;;promoter_overlap;;;6	0.969251584130537
[AC004237.1-004, AC004237.1-003, AC004237.1-002];;;NC_000005.10:+:132689724;;;experimental;;;transcript_overlap;;;4	0.721765456011661
[AC004448.5-003, AC004448.5-001];;;NC_000017.11:-:19460959;;;experimental;;;transcript_overlap;;;5	0.962914168233548
[AC004538.3-001, AC004538.3-004];;;NC_000007.14:+:11197307;;;experimental;;;multi-targeting;;;3	0.943588384464747
[AC004540.5-003, AC004540.5-002, AC004540.5-001, AC004540.5-006];;;NC_000007.14:+:26398600;;;experimental;;;intergenic;;;7	0.971395685534334
[AC004854.4-001, AC004854.4-002];;;NC_000007.14:+:44848470;;;experimental;;;promoter_overlap;;;4	0.941953285015656
[AC005062.2-003, AC005062.2-001, AC005062.2-002];;;NC_000007.14:-:20140450;;;experimental;;;transcript_overlap;;;4	0.948773283125887
[AC005083.1-001, AC005083.1-002];;;NC_000007.14:+:20217563;;;experimental;;;promoter_overlap;;;3	0.940118005465118
[AC005154.6-024, AC005154.6-016];;;NC_000007.14:-:30573121;;;experimental;;;intergenic;;;5	0.963694218665772
[AC005154.6-030, AC005154.6-020];;;NC_000007.14:-:30552262;;;experimental;;;transcript_overlap;;;4	0.960589649941349
[AC005301.9-003, AC005301.9-001];;;NC_000022.11:+:16601865;;;experimental;;;intergenic;;;6	0.9698141740041
[AC005498.3-003, AC005498.3-005];;;NC_000019.10:-:56538350;;;experimental;;;promoter_overlap;;;4	0.729352384177366
[AC005562.1-002, AC005562.1-006, AC005562.1-004];;;NC_000017.11:+:30607614;;;experimental;;;intergenic;;;4	0.860992933183213
[AC005562.1-005, AC005562.1-001];;;NC_000017.11:+:30576464;;;experimental;;;promoter_overlap;;;6	0.94841259259748
[AC005592.2-001, AC005592.2-002];;;NC_000005.10:+:142404193;;;experimental;;;multi-targeting;;;4	0.960950675803558
[AC005592.2-005, AC005592.2-004];;;NC_000005.10:+:142325293;;;experimental;;;promoter_overlap;;;6	0.967568861292953
[AC005618.6-002, AC005618.6-001];;;NC_000005.10:+:141326239;;;experimental;;;intergenic;;;6	0.93069522067199
[AC005785.2-001, AC005785.2-002];;;NC_000019.10:+:15379362;;;experimental;;;promoter_overlap;;;5	0.946057195636646
[AC006262.5-006, AC006262.5-003];;;NC_000019.10:-:46203082;;;experimental;;;promoter_overlap;;;3	0.898737880024709
[AC006273.5-001, AC006273.5-002];;;NC_000019.10:+:782795;;;experimental;;;promoter_overlap;;;4	0.959668046948033
[AC006547.13-007, AC006547.13-009];;;NC_000022.11:-:20069470;;;experimental;;;transcript_overlap;;;3	0.918082558173663
[AC006946.15-001, AC006946.15-002];;;NC_000022.11:+:17121585;;;experimental;;;promoter_overlap;;;6	0.968776089418949
[AC007128.1-001, AC007009.1-001];;;NC_000007.14:+:8262214;;;experimental;;;promoter_overlap;;;7	0.971169596773863
[AC007246.3-009, AC007246.3-002, AC007246.3-005];;;NC_000002.12:+:39437424;;;experimental;;;promoter_overlap;;;5	0.961492093588281
[AC007255.8-001, AC007255.8-002];;;NC_000007.14:-:29563690;;;experimental;;;promoter_overlap;;;4	0.95772793602147
[AC007285.6-002, AC007285.6-001];;;NC_000007.14:+:29988578;;;experimental;;;transcript_overlap;;;7	0.971149018635376
[AC007362.3-001, AC007362.3-010, AC007362.3-009];;;NC_000002.12:-:205763946;;;experimental;;;promoter_overlap;;;4	0.960282782654584
[AC007405.4-004, AC007405.4-001];;;NC_000002.12:-:170770767;;;experimental;;;promoter_overlap;;;7	0.967443784606936
